UniProt_ID,clean_global,clean_PICNIC_score,clean_PICNIC_GO_score,clean_PSAP_score,clean_PSPHunter_prob,clean_PSPire_score,clean_FuzDrop_pLLPS,clean_catGRANULE_score,clean_PLAAC_NLLR,clean_PScore_score,clean_ESpritz_score,clean_SEG_score,clean_DeepPhase_score,clean_SaPS_score,clean_PdPS_score,clean_PDL_score,clean_RY_score,clean_ParSe2_score,clean_LLPhyScore_score
Q13021,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9UKM7,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
P21397,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P27338,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q7Z434,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
Q01726,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q8NE86,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9GZY8,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O95140,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9H3U5,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
Q5JRA6,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P50281,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q16653,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q13724,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P00403,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9NZJ7,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9Y6C9,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q5TF21,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q86UE4,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q13505,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
P15941,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
P13591,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O15394,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9Y2A7,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P55160,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O95139,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O95169,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q92859,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O94856,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9NZG7,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q8NFZ4,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q13423,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9BVI4,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q5JPE7,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P46531,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q9NPH5,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P48145,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O60500,False,False,False,True,False,False,True,True,True,True,True,True,False,True,False,False,True,True,False
Q9Y639,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P49146,False,False,False,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
Q92823,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q02297,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O14511,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9ULB1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q9Y4C0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P04629,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q8TEM1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q5VU65,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Q04671,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
O60313,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
P47893,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q15620,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False
P51575,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True
Q9UBL9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q9H244,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Q08174,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
