uniprot_id,protein_name,gene,organism,source
Q8WXF1,Paraspeckle component 1;Paraspeckle protein 1,PSPC1;PSP1,Homo sapiens,llps_natural
Q14103,Heterogeneous nuclear ribonucleoprotein D0;AU-rich element RNA-binding protein 1,HNRNPD;AUF1;HNRPD,Homo sapiens,llps_natural
D6RBZ0,Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,Homo sapiens,llps_natural
Q13151,Heterogeneous nuclear ribonucleoprotein A0,HNRNPA0;HNRPA0,Homo sapiens,llps_natural
K7EK33,DAZ-associated protein 1,DAZAP1,Homo sapiens,llps_natural
Q32P51,Heterogeneous nuclear ribonucleoprotein A1-like 2;hnRNP core protein A1-like 2,HNRNPA1L2;HNRNPA1L,Homo sapiens,llps_natural
Q01085,Nucleolysin TIAR;TIA-1-related protein,TIAL1,Homo sapiens,llps_natural
O60885,Bromodomain-containing protein 4;Protein HUNK1,BRD4;HUNK1,Homo sapiens,llps_natural
Q15648,Mediator of RNA polymerase II transcription subunit 1;Activator-recruited cofactor 205 kDa component;Mediator complex subunit 1;Peroxisome proliferator-activated receptor-binding protein;Thyroid hormone receptor-associated protein complex 220 kDa component;Thyroid receptor-interacting protein 2;Vitamin D receptor-interacting protein complex component DRIP205;p53 regulatory protein RB18A,MED1;ARC205;CRSP1;CRSP200;DRIP205;DRIP230;PBP;PPARBP;PPARGBP;RB18A;TRAP220;TRIP2,Homo sapiens,llps_natural
Q8N884,Cyclic GMP-AMP synthase;2'3-cGAMP synthase;Mab-21 domain-containing protein 1,CGAS;C6orf150;MB21D1,Homo sapiens,llps_natural
Q8C6L5,Cyclic GMP-AMP synthase;2'3-cGAMP synthase;Mab-21 domain-containing protein 1,Cgas;Mb21d1,Mus musculus,llps_natural
P17600,Synapsin-1;Brain protein 4.1;Synapsin I,SYN1,Homo sapiens,llps_natural
Q92777,Synapsin-2;Synapsin II,SYN2,Homo sapiens,llps_natural
Q15811,Intersectin-1;SH3 domain-containing protein 1A;SH3P17,ITSN1;ITSN;SH3D1A,Homo sapiens,llps_natural
P05205,Heterochromatin protein 1;Non-histone chromosomal protein C1A9 antigen,Su(var)205;HP1;CG8409,Drosophila,llps_natural
P16554,Protein numb,numb;CG3779,Drosophila,llps_natural
Q9W4I7,Partner of numb;RE65495p,pon;Dmel\CG3346;PON;Pon;CG3346;Dmel_CG3346,Drosophila,llps_natural
Q7ZXV8,BUB3-interacting and GLEBS motif-containing protein ZNF207;Zinc finger protein 207,znf207;bugz,Xenopus,llps_natural
