uniprot_id,protein_name,gene_names,organism,source
Q9H6S1,5-azacytidine-induced protein 2,AZI2 NAP1 TBKBP2,Homo sapiens,phasepdb
Q9H7Z6,Histone acetyltransferase KAT8,KAT8 MOF MYST1,Homo sapiens,phasepdb
Q9H8W2,Putative uncharacterized protein encoded by LINC00472,LINC00472 C6orf155,Homo sapiens,phasepdb
Q9H8Y8,Golgi reassembly-stacking protein 2,GORASP2 GOLPH6,Homo sapiens,phasepdb
Q9H9J4,Ubiquitin carboxyl-terminal hydrolase 42,USP42,Homo sapiens,phasepdb
Q9H9S0,Homeobox protein NANOG,NANOG,Homo sapiens,phasepdb
Q9HBL0,Tensin-1,TNS1 TNS,Homo sapiens,phasepdb
Q9HC52,Chromobox protein homolog 8,CBX8 PC3 RC1,Homo sapiens,phasepdb
Q9HC98,Serine/threonine-protein kinase Nek6,NEK6,Homo sapiens,phasepdb
Q9HCE1,Helicase MOV-10,MOV10 KIAA1631,Homo sapiens,phasepdb
Q9HCE7,E3 ubiquitin-protein ligase SMURF1,SMURF1 KIAA1625,Homo sapiens,phasepdb
Q9NP98,Myozenin-1,MYOZ1 MYOZ,Homo sapiens,phasepdb
Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B,RPRD1B C20orf77 CREPT,Homo sapiens,phasepdb
Q9NQW6,Anillin,ANLN,Homo sapiens,phasepdb
Q9NR56,Muscleblind-like protein 1,MBNL1 EXP KIAA0428 MBNL,Homo sapiens,phasepdb
Q9NRA8,Eukaryotic translation initiation factor 4E transporter,EIF4ENIF1,Homo sapiens,phasepdb
Q9NSU2,Three-prime repair exonuclease 1,TREX1,Homo sapiens,phasepdb
Q9NSV4,Protein diaphanous homolog 3,DIAPH3 DIAP3,Homo sapiens,phasepdb
Q9NTZ6,RNA-binding protein 12,RBM12 KIAA0765,Homo sapiens,phasepdb
Q9NUD5,Zinc finger CCHC domain-containing protein 3,ZCCHC3 C20orf99,Homo sapiens,phasepdb
Q9NUX5,Protection of telomeres protein 1,POT1,Homo sapiens,phasepdb
Q9NWB1,RNA binding protein fox-1 homolog 1,RBFOX1 A2BP A2BP1 FOX1 HRNBP1,Homo sapiens,phasepdb
Q9NWF9,E3 ubiquitin-protein ligase RNF216,RNF216 TRIAD3 UBCE7IP1 ZIN,Homo sapiens,phasepdb
Q9NWS1,PCNA-interacting partner,PARPBP C12orf48 PARI,Homo sapiens,phasepdb
Q9NX01,Thioredoxin-like protein 4B,TXNL4B DIM2 DLP,Homo sapiens,phasepdb
Q9NYF0,Dapper homolog 1,DACT1 DPR1 HNG3,Homo sapiens,phasepdb
Q9NYJ8,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,TAB2 KIAA0733 MAP3K7IP2,Homo sapiens,phasepdb
