Entry,Location_SL_IDs
Q8IYF1,SL-0191
Q8TBC5,SL-0191
Q9HCK8,SL-0191
O75056,SL-0039
P02458,SL-0111
P53420,SL-0025
Q12946,SL-0191
Q15059,SL-0191; SL-0468
Q5JR59,SL-0090
Q6SPF0,SL-0191; SL-0468; SL-0243
Q8N2M8,SL-0191
Q9BYJ9,SL-0086; SL-0230; SL-0496
Q9HCI5,SL-0198; SL-0191; SL-0039
P25440,SL-0191; SL-0468
Q96JE7,SL-0097; SL-0134
P56693,SL-0086; SL-0191; SL-0172
P78312,SL-0191; SL-0086
Q765P7,SL-0086; SL-0300
Q13761,SL-0191; SL-0086
Q5T5Y3,SL-0090
Q9UQ26,SL-0039; SL-0258; SL-0222
Q01538,SL-0191
Q14244,SL-0198; SL-0026; SL-0090
Q7Z6I6,SL-0088
Q15424,SL-0191
Q8N5C8,
Q9P2K5,SL-0191
O75112,SL-0198; SL-0298; SL-0090; SL-0314
P20810,
Q1MSJ5,SL-0048; SL-0251; SL-0448; SL-0066
P46100,SL-0191; SL-0276; SL-0465
Q5TAT6,SL-0039; SL-0219
P13942,SL-0111
P16070,SL-0039; SL-0293; SL-0243
Q2M3G4,SL-0090
Q9ULK2,
Q8NFJ8,SL-0191
Q9H6X5,
O95081,
C9J069,SL-0015; SL-0066; SL-0009
Q2WGN9,
Q53SF7,
A5PLN7,
Q5SNV9,
Q96MY1,
Q9Y3X0,
C9JLR9,
Q9Y2K5,SL-0191
P0CJ78,SL-0191
A6NIJ5,
Q3SYA9,
Q9NQR7,
P0C671,
Q0VF49,
A6NNA2,
Q9H7T3,
Q8N1X5,
A7MD48,SL-0191
O43719,SL-0191; SL-0468
O43823,SL-0191; SL-0181; SL-0188; SL-0086
P04198,SL-0191
P09086,SL-0086; SL-0191
P12035,
Q00587,SL-0147; SL-0090
Q17RW2,SL-0111
Q5VU43,SL-0132; SL-0048; SL-0090
Q92833,SL-0191
Q9UI08,SL-0090; SL-0501; SL-0291
P13645,SL-0112; SL-0310; SL-0086
Q01167,SL-0191; SL-0086
Q13023,SL-0239; SL-0182
Q15583,SL-0191
Q6UWI2,SL-0039; SL-0134; SL-0100
Q9UIW0,SL-0191
P09067,SL-0191
P0DPB3,SL-0086
P15408,SL-0191
P16402,SL-0191; SL-0468
P23771,SL-0191
Q14055,SL-0111
Q14781,SL-0191; SL-0468
Q15287,SL-0191; SL-0186; SL-0086
Q6ZSZ5,SL-0086; SL-0090; SL-0039; SL-0015
Q8WXH2,SL-0039; SL-0097
Q9HCM1,SL-0191
Q9UGU5,SL-0191
A6NDB9,SL-0086; SL-0039
O14529,SL-0191
P27987,SL-0090; SL-0086; SL-0095
P47974,SL-0191; SL-0086
P50548,SL-0191
P52951,SL-0191
Q19T08,SL-0039; SL-0086
Q4KMP7,SL-0086; SL-0039
Q8N8S7,SL-0086; SL-0090; SL-0291; SL-0286; SL-0258; SL-0118
Q92540,SL-0086; SL-0191
Q96IZ0,SL-0086; SL-0191
Q96PG8,
Q9BTA9,SL-0186; SL-0191
Q9UHV7,SL-0191
A1L390,SL-0090
O14641,SL-0039; SL-0091; SL-0088; SL-0191
P14651,SL-0191
P17275,SL-0191
P19622,SL-0191
P23246,SL-0186; SL-0181; SL-0086
Q12837,SL-0191; SL-0186; SL-0086
Q2M2I5,
Q5VY09,SL-0191; SL-0086
Q8N3F8,SL-0231; SL-0151; SL-0305; SL-0046
Q8TF01,SL-0186
Q96NU1,SL-0191
Q9H307,SL-0186; SL-0092
O43593,SL-0191
O60393,SL-0191
P02462,SL-0025
P11161,SL-0191
Q9NRA8,SL-0230; SL-0086; SL-0191; SL-0465; SL-0186
P43699,SL-0191
Q9Y2H0,SL-0162
O95644,SL-0086; SL-0191
P38398,SL-0191; SL-0468; SL-0086
Q12923,SL-0090; SL-0191; SL-0291
Q7RTP6,SL-0086; SL-0138; SL-0090; SL-0191; SL-0469; SL-0251; SL-0087
Q8IX15,SL-0191
Q9UBX2,SL-0191; SL-0086
Q96T17,SL-0048; SL-0469; SL-0090; SL-0518; SL-0279
O60271,SL-0086; SL-0198; SL-0157; SL-0007
Q8IYX3,SL-0048
Q13950,SL-0191; SL-0086
Q9Y2D5,SL-0015
Q9NY43,SL-0191
Q9P2N5,SL-0086; SL-0186
Q6PJG2,SL-0191
Q8NAF0,SL-0191
O75363,SL-0086
Q8IWB9,SL-0097; SL-0182
Q8TC56,SL-0132; SL-0031
Q9UL36,SL-0191
Q96T25,SL-0191
Q5VTL8,SL-0191
Q6ZVF9,
Q9HC44,SL-0191
A0A0J9YY54,
P0CJ86,SL-0191
Q5VU36,SL-0162
P0CJ85,SL-0191
P0CJ90,SL-0191
Q8N5Q1,
B4DYI2,SL-0162
Q6NV74,
A1L443,
P0CJ87,SL-0191
P0CJ88,SL-0191
P0CJ89,SL-0191
Q9HAH7,
Q5T6C5,
A7XYQ1,
O75190,SL-0198; SL-0191; SL-0314
O95208,SL-0086; SL-0070
P0CG20,
P35712,SL-0191; SL-0086
Q13319,SL-0039
Q2QGD7,SL-0191
Q8IZA3,SL-0086; SL-0191; SL-0468
Q8NC44,SL-0097
Q8NHG8,SL-0100; SL-0157; SL-0222; SL-0086
A6NDE4,SL-0191
O15234,SL-0086; SL-0198; SL-0191; SL-0186; SL-0496; SL-0495; SL-0283
O43516,SL-0088; SL-0090; SL-0300
P12270,SL-0191; SL-0182; SL-0178; SL-0185; SL-0086; SL-0251; SL-0149
P50221,SL-0191; SL-0086
P56177,SL-0191
Q07157,SL-0039; SL-0265; SL-0038; SL-0124; SL-0295
Q32MQ0,SL-0191
Q5SW24,
Q8N1G0,SL-0086; SL-0191
